gauge,regime,frac_snow,provenance,n_seeds,mask,ctrl_NSE_mean,ctrl_NSE_std,phys_NSE_mean,phys_NSE_std,dNSE_mean,dNSE_std,dNSE_ci95_lo,dNSE_ci95_hi,p_NSE,ctrl_floodMAE_mean,ctrl_floodMAE_std,phys_floodMAE_mean,phys_floodMAE_std,floodMAE_red_pct_mean,floodMAE_red_pct_std,floodMAE_red_pct_ci95_lo,floodMAE_red_pct_ci95_hi,p_floodMAE
11266500,snowmelt-montane,0.803,carried,10,0.0,0.9805764973163604,0.002564200534012432,0.9452660083770752,0.01876672496875309,-0.035310488939285276,0.019593146337820923,-0.04932658148173931,-0.02129439639683124,0.0002946770293983071,380.3964569091797,62.750602725383935,693.0707489013672,103.96407633937811,-87.11704372473983,45.895609887872496,-119.94878521176494,-54.28530223771472,2.012394718709106e-05
11266500,snowmelt-montane,0.803,carried,10,0.8,0.912138831615448,0.01942721441939574,0.8479611158370972,0.05583916935632569,-0.06417771577835082,0.050431562538049264,-0.10025428231883582,-0.028101149237865823,0.0029989415295122784,786.1245788574219,90.88606509258574,936.2624389648438,176.14503990482808,-19.116428347103625,17.995413056378066,-31.98957135277834,-6.24328534142891,0.0077088448901611074
11266500,snowmelt-montane,0.803,carried,10,1.0,0.45708354115486144,0.09318059039593254,0.7544975101947784,0.0717633402349681,0.297413969039917,0.13321362118535587,0.20211868515561265,0.3927092529242214,5.9197573236087405e-05,2643.409521484375,303.3849183316527,1034.2469665527344,193.29684562134446,60.348919372270835,9.359806124725955,53.6533174224016,67.04452132214007,2.3406057669250263e-07
09352900,snowmelt-montane,0.606,carried,10,0.0,0.9449376583099365,0.004485789341844841,0.9433693408966064,0.0046456641266786215,-0.0015683174133300781,0.006160734729449707,-0.00597544154789524,0.002838806721235084,0.4415607311259582,104.10850219726562,5.712103401839096,119.52517013549804,12.679698813101211,-15.133876634085976,13.703498925849358,-24.9367692266539,-5.330984041518052,0.007700264727898507
09352900,snowmelt-montane,0.606,carried,10,0.8,0.8542991578578949,0.01976182270454875,0.8705207943916321,0.019381914611033526,0.016221636533737184,0.013560390930558367,0.00652111723390029,0.02592215583357408,0.004329798859938699,186.24434967041014,25.79256885290004,188.4786636352539,27.05815622307135,-2.4736907000097594,16.320069504290093,-14.148365125824919,9.200983725805399,0.8278844681682692
09352900,snowmelt-montane,0.606,carried,10,1.0,0.6438917279243469,0.07988480169794338,0.7798729002475738,0.03601167758236576,0.13598117232322693,0.06433829452359216,0.0899563290174007,0.18200601562905316,9.020938816118737e-05,338.16376953125,80.44334606434933,232.91607055664062,37.47332103888257,27.906645259937893,18.886048711885152,14.396379887392474,41.41691063248331,0.001607352643893334
09210500,snowmelt-montane,0.597,carried,10,0.0,0.9755293190479278,0.0035622960350490808,0.9650498569011688,0.009890937776421924,-0.010479462146759034,0.008501371734905592,-0.01656097712754756,-0.004397947165970508,0.0036300443132977135,36.26729106903076,6.375473816512047,47.81599769592285,7.324205856802959,-34.40509244678513,26.165988399307818,-53.123112949778275,-15.687071943791988,0.002244106144411036
09210500,snowmelt-montane,0.597,carried,10,0.8,0.9135824143886566,0.017009336902619382,0.8972671270370484,0.03659921641329957,-0.016315287351608275,0.034741076851978483,-0.04116755659852868,0.008536981895312133,0.17168134394527634,76.2077018737793,6.099027787686502,81.36567840576171,14.39748456888781,-7.165108678234658,19.64725005842275,-21.219904690859916,6.889687334390601,0.29283615871263935
09210500,snowmelt-montane,0.597,carried,10,1.0,0.5815645456314087,0.040416834982532575,0.6948181092739105,0.08565580284101017,0.11325356364250183,0.08590921440678968,0.051797813830090314,0.17470931345491336,0.0024158828469245776,220.31237335205077,32.93453416765806,161.74144821166993,37.762288715113954,25.22846757557067,19.13862050521712,11.537523226411832,38.9194119247295,0.002485804885449501
01013500,mixed rain-snow,0.275,fresh,10,0.0,0.9940443754196167,0.0007602094848004992,0.9867067039012909,0.002574317972106727,-0.0073376715183258055,0.0031370980259772664,-0.009581816255915582,-0.005093526780736029,4.11837124461334e-05,327.69114074707034,45.58088508238019,623.071322631836,107.07915701584682,-96.41723753494792,59.60778244151773,-139.05807635408456,-53.77639871581128,6.368713566741601e-05
01013500,mixed rain-snow,0.275,fresh,10,0.8,0.9637002348899841,0.010719615712948992,0.9640473365783692,0.004886903595891299,0.00034710168838500974,0.014114165348179898,-0.00974956396544733,0.01044376734221735,0.9397140325752456,761.8009460449218,153.36144222606436,965.1806518554688,106.9713974129329,-32.336227385606996,33.395185541109534,-56.225703988611386,-8.446750782602603,0.025809678946921207
01013500,mixed rain-snow,0.275,fresh,10,1.0,0.8684398353099823,0.05476090767668579,0.9349138498306274,0.01081716067003333,0.06647401452064514,0.05969457542732326,0.023771087739722703,0.10917694130156758,0.006500992697714928,1785.4209838867187,728.0696267981369,1116.969256591797,167.82346312974846,23.035624488707004,42.80235658925349,-7.583336889234463,53.654585866648475,0.034440887314715084
01466500,groundwater/baseflow,0.055,fresh,10,0.0,0.7796702563762665,0.015439161450467805,0.7793082118034362,0.016209579444814954,-0.0003620445728302002,0.0010848691972744147,-0.0011381132451753042,0.00041402409951490373,0.31878313898142707,1.5554652094841004,0.10856461358043329,1.5552048683166504,0.10996038384266173,0.02153210511308602,0.3085873389241442,-0.19921797888141063,0.24228218910758265,0.8727216908172324
01466500,groundwater/baseflow,0.055,fresh,10,0.8,0.6360160350799561,0.022029268484181387,0.6366278171539307,0.021625893427772727,0.0006117820739746094,0.0010522317392065378,-0.00014093916734831075,0.0013645033152975294,0.0991332280403221,2.1699350118637084,0.07803556437075013,2.1691087245941163,0.07559597438346527,0.034218193796804235,0.3075188310129496,-0.18576752568433505,0.2542039132779435,0.7127032954113411
01466500,groundwater/baseflow,0.055,fresh,10,1.0,0.34789466857910156,0.04219390180124338,0.34913278818130494,0.04134339631682133,0.0012381196022033692,0.0027550468626548774,-0.0007327221972696105,0.003208961401676349,0.1889880004200702,2.9214791297912597,0.1880689090353424,2.9225143909454347,0.18599123903498788,-0.04038818949806997,0.26704858588697544,-0.23142323964201802,0.1506468606458781,0.6845066947562671
